Date,Open,High,Low,Close,Adj Close,Volume
"Nov 14, 2024",225.02,228.87,225.00,228.22,228.22,44923900
"Nov 13, 2024",224.01,226.65,222.76,225.12,225.12,48566200
"Nov 12, 2024",224.55,225.59,223.36,224.23,224.23,40398300
"Nov 11, 2024",225.00,225.70,221.50,224.23,224.23,42005600
"Nov 8, 2024",227.17,228.66,226.41,226.96,226.96,38328800
"Nov 7, 2024",224.63,227.88,224.57,227.48,227.23,42137700
"Nov 6, 2024",222.61,226.07,221.19,222.72,222.48,54561100
"Nov 5, 2024",221.80,223.95,221.14,223.45,223.20,28111300
"Nov 4, 2024",220.99,222.79,219.71,222.01,221.77,44944500
"Nov 1, 2024",220.97,225.35,220.27,222.91,222.67,65276700
"Oct 31, 2024",229.34,229.83,225.37,225.91,225.66,64370100
"Oct 30, 2024",232.61,233.47,229.55,230.10,229.85,47070900
"Oct 29, 2024",233.10,234.33,232.32,233.67,233.41,35417200
"Oct 28, 2024",233.32,234.73,232.55,233.40,233.14,36087100
"Oct 25, 2024",229.74,233.22,229.57,231.41,231.16,38802300
"Oct 24, 2024",229.98,230.82,228.41,230.57,230.32,31109500
"Oct 23, 2024",234.08,235.14,227.76,230.76,230.51,52287000
"Oct 22, 2024",233.89,236.22,232.60,235.86,235.60,38846600
"Oct 21, 2024",234.45,236.85,234.45,236.48,236.22,36254500
"Oct 18, 2024",236.18,236.18,234.01,235.00,234.74,46431500
"Oct 17, 2024",233.43,233.85,230.52,232.15,231.89,32993800
"Oct 16, 2024",231.60,232.12,229.84,231.78,231.53,34082200
"Oct 15, 2024",233.61,237.49,232.37,233.85,233.59,64751400
"Oct 14, 2024",228.70,231.73,228.60,231.30,231.05,39882100
"Oct 11, 2024",229.30,229.41,227.34,227.55,227.30,31759200
"Oct 10, 2024",227.78,229.50,227.17,229.04,228.79,28183500
"Oct 9, 2024",225.23,229.75,224.83,229.54,229.29,33591100
"Oct 8, 2024",224.30,225.98,223.25,225.77,225.52,31855700
"Oct 7, 2024",224.50,225.69,221.33,221.69,221.45,39505400
"Oct 4, 2024",227.90,228.00,224.13,226.80,226.55,37245100
"Oct 3, 2024",225.14,226.81,223.32,225.67,225.42,34044200
"Oct 2, 2024",225.89,227.37,223.02,226.78,226.53,32880600
"Oct 1, 2024",229.52,229.65,223.74,226.21,225.96,63285000
"Sep 30, 2024",230.04,233.00,229.65,233.00,232.74,54541900
"Sep 27, 2024",228.46,229.52,227.30,227.79,227.54,34026000
"Sep 26, 2024",227.30,228.50,225.41,227.52,227.27,36636700
"Sep 25, 2024",224.93,227.29,224.02,226.37,226.12,42308700
"Sep 24, 2024",228.65,229.35,225.73,227.37,227.12,43556100
"Sep 23, 2024",227.34,229.45,225.81,226.47,226.22,54146000
"Sep 20, 2024",229.97,233.09,227.62,228.20,227.95,318679900
"Sep 19, 2024",224.99,229.82,224.63,228.87,228.62,66781300
"Sep 18, 2024",217.55,222.71,217.54,220.69,220.45,59894900
"Sep 17, 2024",215.75,216.90,214.50,216.79,216.55,45519300
"Sep 16, 2024",216.54,217.22,213.92,216.32,216.08,59357400
"Sep 13, 2024",223.58,224.04,221.91,222.50,222.26,36766600
"Sep 12, 2024",222.50,223.55,219.82,222.77,222.53,37498200
"Sep 11, 2024",221.46,223.09,217.89,222.66,222.42,44587100
"Sep 10, 2024",218.92,221.48,216.73,220.11,219.87,51591000
"Sep 9, 2024",220.82,221.27,216.71,220.91,220.67,67180000
"Sep 6, 2024",223.95,225.24,219.77,220.82,220.58,48423000
"Sep 5, 2024",221.63,225.48,221.52,222.38,222.14,36615400
"Sep 4, 2024",221.66,221.78,217.48,220.85,220.61,43840200
"Sep 3, 2024",228.55,229.00,221.17,222.77,222.53,50190600
"Aug 30, 2024",230.19,230.40,227.48,229.00,228.75,52990800
"Aug 29, 2024",230.10,232.92,228.88,229.79,229.54,51906300
"Aug 28, 2024",227.92,229.86,225.68,226.49,226.24,38052200
"Aug 27, 2024",226.00,228.85,224.89,228.03,227.78,35934600
"Aug 26, 2024",226.76,227.28,223.89,227.18,226.93,30602200
"Aug 23, 2024",225.66,228.22,224.33,226.84,226.59,38677300
"Aug 22, 2024",227.79,228.34,223.90,224.53,224.28,43695300
"Aug 21, 2024",226.52,227.98,225.05,226.40,226.15,34765500
"Aug 20, 2024",225.77,227.17,225.45,226.51,226.26,30299000
"Aug 19, 2024",225.72,225.99,223.04,225.89,225.64,40687800
"Aug 16, 2024",223.92,226.83,223.65,226.05,225.80,44340200
"Aug 15, 2024",224.60,225.35,222.76,224.72,224.47,46414000
"Aug 14, 2024",220.57,223.03,219.70,221.72,221.48,41960600
"Aug 13, 2024",219.01,221.89,219.01,221.27,221.03,44155300
"Aug 12, 2024",216.07,219.51,215.60,217.53,217.29,38028100
"Aug 9, 2024",212.10,216.78,211.97,216.24,215.75,42201600
"Aug 8, 2024",213.11,214.20,208.83,213.31,212.83,47161100
"Aug 7, 2024",206.90,213.64,206.39,209.82,209.35,63516400
"Aug 6, 2024",205.30,209.99,201.07,207.23,206.76,69660500
"Aug 5, 2024",199.09,213.50,196.00,209.27,208.80,119548600
"Aug 2, 2024",219.15,225.60,217.71,219.86,219.36,105568600
"Aug 1, 2024",224.37,224.48,217.02,218.36,217.87,62501000
"Jul 31, 2024",221.44,223.82,220.63,222.08,221.58,50036300
"Jul 30, 2024",219.19,220.33,216.12,218.80,218.31,41643800
"Jul 29, 2024",216.96,219.30,215.75,218.24,217.75,36311800
"Jul 26, 2024",218.70,219.49,216.01,217.96,217.47,41601300
"Jul 25, 2024",218.93,220.85,214.62,217.49,217.00,51391200
"Jul 24, 2024",224.00,224.80,217.13,218.54,218.05,61777600
"Jul 23, 2024",224.37,226.94,222.68,225.01,224.50,39960300
"Jul 22, 2024",227.01,227.78,223.09,223.96,223.46,48201800
"Jul 19, 2024",224.82,226.80,223.28,224.31,223.80,49151500
"Jul 18, 2024",230.28,230.44,222.27,224.18,223.67,66034600
"Jul 17, 2024",229.45,231.46,226.64,228.88,228.36,57345900
"Jul 16, 2024",235.00,236.27,232.33,234.82,234.29,43234300
"Jul 15, 2024",236.48,237.23,233.09,234.40,233.87,62631300
"Jul 12, 2024",228.92,232.64,228.68,230.54,230.02,53046500
"Jul 11, 2024",231.39,232.39,225.77,227.57,227.06,64710600
"Jul 10, 2024",229.30,233.08,229.25,232.98,232.45,62627700
"Jul 9, 2024",227.93,229.40,226.37,228.68,228.16,48076100
"Jul 8, 2024",227.09,227.85,223.25,227.82,227.31,59085900
"Jul 5, 2024",221.65,226.45,221.65,226.34,225.83,60412400
"Jul 3, 2024",220.00,221.55,219.03,221.55,221.05,37369800
"Jul 2, 2024",216.15,220.38,215.10,220.27,219.77,58046200
"Jul 1, 2024",212.09,217.51,211.92,216.75,216.26,60402900
"Jun 28, 2024",215.77,216.07,210.30,210.62,210.15,82542700
"Jun 27, 2024",214.69,215.74,212.35,214.10,213.62,49772700
"Jun 26, 2024",211.50,214.86,210.64,213.25,212.77,66213200
"Jun 25, 2024",209.15,211.38,208.61,209.07,208.60,56713900
"Jun 24, 2024",207.72,212.70,206.59,208.14,207.67,80727000
"Jun 21, 2024",210.39,211.89,207.11,207.49,207.02,246421400
"Jun 20, 2024",213.93,214.24,208.85,209.68,209.21,86172500
"Jun 18, 2024",217.59,218.63,213.00,214.29,213.81,79943300
"Jun 17, 2024",213.37,218.95,212.72,216.67,216.18,93728300
"Jun 14, 2024",213.85,215.17,211.30,212.49,212.01,70122700
"Jun 13, 2024",214.74,216.75,211.60,214.24,213.76,97862700
"Jun 12, 2024",207.37,220.20,206.90,213.07,212.59,198134300
"Jun 11, 2024",193.65,207.16,193.63,207.15,206.68,172373300
"Jun 10, 2024",196.90,197.30,192.15,193.12,192.68,97262100
"Jun 7, 2024",194.65,196.94,194.14,196.89,196.45,53103900
"Jun 6, 2024",195.69,196.50,194.17,194.48,194.04,41181800
"Jun 5, 2024",195.40,196.90,194.87,195.87,195.43,54156800
"Jun 4, 2024",194.64,195.32,193.03,194.35,193.91,47471400
"Jun 3, 2024",192.90,194.99,192.52,194.03,193.59,50080500
"May 31, 2024",191.44,192.57,189.91,192.25,191.82,75158300
"May 30, 2024",190.76,192.18,190.63,191.29,190.86,49947900
"May 29, 2024",189.61,192.25,189.51,190.29,189.86,53068000
"May 28, 2024",191.51,193.00,189.10,189.99,189.56,52280100
"May 24, 2024",188.82,190.58,188.04,189.98,189.55,36294600
"May 23, 2024",190.98,191.00,186.63,186.88,186.46,51005900
"May 22, 2024",192.27,192.82,190.27,190.90,190.47,34648500
"May 21, 2024",191.09,192.73,190.92,192.35,191.92,42309400
"May 20, 2024",189.33,191.92,189.01,191.04,190.61,44361300
